id,fold,language,duration,type,categories,is_chunked,freshness,auxiliary_rate,conjugate_rate,normalization_rate,tobe_verb_rate,preposition_rate,pronoun_rate,document_entropy,easiness,silent_period_rate,fraction_stopword_coverage,fraction_stopword_presence,title_word_count,word_count,speaker_speed,topic_1_pageRank_url,topic_1_pageRank_val,topic_2_pageRank_url,topic_2_pageRank_val,topic_3_pageRank_url,topic_3_pageRank_val,topic_4_pageRank_url,topic_4_pageRank_val,topic_5_pageRank_url,topic_5_pageRank_val,topic_1_cosine_url,topic_1_cosine_val,topic_2_cosine_url,topic_2_cosine_val,topic_3_cosine_url,topic_3_cosine_val,topic_4_cosine_url,topic_4_cosine_val,topic_5_cosine_url,topic_5_cosine_val,mean_star_rating,view_count,num_sessions,mean_engagement,med_engagement,stdev_engagement_rate
1,1,en,250,vps,misc,0,15320,0.020512821,0.051282051,0.025641026,0.04957265,0.094017094,0.116239316,7.015829237,73.492375,0,0.22324159,0.584615385,15,576,138.7951807,http://en.wikipedia.org/wiki/Cosmic_microwave_background,0.013014533,http://en.wikipedia.org/wiki/Autocorrelation,0.010569147,http://en.wikipedia.org/wiki/Spherical_harmonics,0.008335368,http://en.wikipedia.org/wiki/Cosmology,0.006806024,http://en.wikipedia.org/wiki/Microwave,0.005398078,http://en.wikipedia.org/wiki/Standard_deviation,0.255508343,http://en.wikipedia.org/wiki/Statistics,0.251293698,http://en.wikipedia.org/wiki/Cosmic_microwave_background,0.239106177,http://en.wikipedia.org/wiki/Experiment,0.235672631,http://en.wikipedia.org/wiki/Scientific_method,0.230192241,-1,318,7,0.467076879,0.38879,0.297338104
2,1,en,3040,vl,misc,0,15040,0.017048412,0.044377928,0.017048412,0.036699636,0.105023425,0.130010411,8.201700268,88.69683484,0,0.614678899,0.643545029,14,7451,147.2529644,http://en.wikipedia.org/wiki/Alkene,0.008877542,http://en.wikipedia.org/wiki/Hydrogenation,0.005451203,http://en.wikipedia.org/wiki/Palladium,0.005215246,http://en.wikipedia.org/wiki/Hydrogen,0.00402683,http://en.wikipedia.org/wiki/Oxidative_addition,0.003770611,http://en.wikipedia.org/wiki/Alkene,0.213937796,http://en.wikipedia.org/wiki/English_modal_verbs,0.201105368,http://en.wikipedia.org/wiki/Being,0.192981452,http://en.wikipedia.org/wiki/Free_will,0.18746643,http://en.wikipedia.org/wiki/Chemical_reaction,0.186146531,-1,78,5,0.14661074,0.01601,0.186528441
3,1,en,1130,vit,stem,0,15680,0.015347053,0.043250785,0.016393443,0.030694105,0.097663062,0.119986048,8.169012632,83.02539616,0,0.501529052,0.578304848,4,2809,149.5474712,http://en.wikipedia.org/wiki/Artificial_neural_network,0.012002992,http://en.wikipedia.org/wiki/Overfitting,0.01115228,http://en.wikipedia.org/wiki/Cross-validation_(statistics),0.004099801,http://en.wikipedia.org/wiki/Molecule,0.003931484,http://en.wikipedia.org/wiki/Neural_network,0.003410419,http://en.wikipedia.org/wiki/Imaginary_unit,0.230968092,"http://en.wikipedia.org/wiki/Training,_validation,_and_test_sets",0.216616871,http://en.wikipedia.org/wiki/Overfitting,0.213342802,http://en.wikipedia.org/wiki/Artificial_neural_network,0.211893982,http://en.wikipedia.org/wiki/Mathematical_model,0.211322372,-1,530,9,0.492173129,0.6073,0.380019502
4,1,en,6480,vl,stem,0,15520,0.019159364,0.047675628,0.017228576,0.040026734,0.109386603,0.139388089,8.076430623,92.97547752,0,0.709480122,0.659438586,16,13048,120.8894379,http://en.wikipedia.org/wiki/Random_walk,0.009620277,http://en.wikipedia.org/wiki/Rejection_sampling,0.003973082,http://en.wikipedia.org/wiki/Slice_sampling,0.003965913,http://en.wikipedia.org/wiki/Probability_distribution,0.003787402,http://en.wikipedia.org/wiki/Conditional_probability_distribution,0.003728737,http://en.wikipedia.org/wiki/Free_will,0.25080454,http://en.wikipedia.org/wiki/Being,0.238667528,http://en.wikipedia.org/wiki/Time,0.222703547,http://en.wikipedia.org/wiki/Teleological_argument,0.219332459,http://en.wikipedia.org/wiki/English_modal_verbs,0.214905354,5,1517,98,0.277247036,0.08273,0.354949039
5,1,en,4530,vl,stem,0,12680,0.011170838,0.045775239,0.01394255,0.048043004,0.113808164,0.132034268,8.578671792,88.38843437,0,0.721712538,0.619351587,8,11617,153.7318041,http://en.wikipedia.org/wiki/Structural_engineering,0.005122115,http://en.wikipedia.org/wiki/Prestressed_concrete,0.004318555,http://en.wikipedia.org/wiki/Bridge,0.003526935,http://en.wikipedia.org/wiki/Engineering,0.00267878,http://en.wikipedia.org/wiki/Structural_art,0.002232154,http://en.wikipedia.org/wiki/Bridge,0.228520329,http://en.wikipedia.org/wiki/Reality,0.208481955,http://en.wikipedia.org/wiki/Politics_of_the_United_States,0.20490795,http://en.wikipedia.org/wiki/Being,0.198707989,http://en.wikipedia.org/wiki/Time,0.19237352,-1,238,10,0.209334294,0.07392,0.323300538
6,1,en,910,vl,stem,0,17030,0.016216216,0.026195426,0.023700624,0.04033264,0.104781705,0.153430353,7.600346771,84.47559067,0,0.440366973,0.628690229,4,2405,158.2236842,http://en.wikipedia.org/wiki/Departments_of_France,0.014465362,http://en.wikipedia.org/wiki/Butte,0.004735089,http://en.wikipedia.org/wiki/Business_school,0.002676591,http://en.wikipedia.org/wiki/Market_trend,0.002557523,http://en.wikipedia.org/wiki/Analytics,0.00248254,http://en.wikipedia.org/wiki/Teleological_argument,0.201742606,http://en.wikipedia.org/wiki/Understanding,0.185576858,http://en.wikipedia.org/wiki/English_modal_verbs,0.177542752,http://en.wikipedia.org/wiki/Human_nature,0.175373314,http://en.wikipedia.org/wiki/Justice,0.1719427,-1,32,25,0.24586842,0.13451,0.341423348
7,1,en,1240,vl,stem,0,14950,0.012285714,0.035142857,0.027428571,0.047428571,0.119142857,0.103714286,7.51076218,81.34646538,0.159891912,0.443425077,0.61,7,3472,167.7294686,http://en.wikipedia.org/wiki/Supervised_learning,0.007795806,http://en.wikipedia.org/wiki/Algorithm,0.006547631,http://en.wikipedia.org/wiki/Covering_number,0.004267721,http://en.wikipedia.org/wiki/Online_algorithm,0.003849269,http://en.wikipedia.org/wiki/Machine_learning,0.003591673,http://en.wikipedia.org/wiki/Function_(mathematics),0.292822988,http://en.wikipedia.org/wiki/Machine_learning,0.2604516,http://en.wikipedia.org/wiki/Algorithm,0.25625396,http://en.wikipedia.org/wiki/Educational_technology,0.246025868,http://en.wikipedia.org/wiki/Big_O_notation,0.244729618,-1,220,6,0.504376417,0.55828,0.371505271
8,1,en,930,vl,stem,0,16000,0.018703242,0.037406484,0.028678304,0.052992519,0.130922693,0.087905237,7.33390381,87.60693028,0.037158723,0.31498471,0.573566085,8,1602,103.8012959,http://en.wikipedia.org/wiki/Transitive_closure,0.015098377,http://en.wikipedia.org/wiki/Ontology,0.013885936,http://en.wikipedia.org/wiki/Algorithm,0.008961652,http://en.wikipedia.org/wiki/Transitive_relation,0.004907004,http://en.wikipedia.org/wiki/Southern_France,0.004212232,http://en.wikipedia.org/wiki/Transitive_closure,0.336132906,http://en.wikipedia.org/wiki/Algorithm,0.30751223,http://en.wikipedia.org/wiki/Transitive_relation,0.278106548,http://en.wikipedia.org/wiki/Ontology,0.250982027,http://en.wikipedia.org/wiki/Concept,0.231422279,-1,135,24,0.202806562,0.11321,0.22318368
9,1,en,180,vps,misc,0,15320,0.007792208,0.038961039,0.031168831,0.072727273,0.111688312,0.075324675,6.993241029,79.84114309,0,0.204892966,0.555844156,6,383,127.6666667,http://en.wikipedia.org/wiki/Parsec,0.017830543,http://en.wikipedia.org/wiki/Resolution_(mass_spectrometry),0.011457032,http://en.wikipedia.org/wiki/Cosmology,0.006323819,http://en.wikipedia.org/wiki/Database,0.005080187,http://en.wikipedia.org/wiki/Galaxy,0.004687611,http://en.wikipedia.org/wiki/Database,0.333461872,http://en.wikipedia.org/wiki/Simulation,0.255602119,http://en.wikipedia.org/wiki/Mass,0.25045475,http://en.wikipedia.org/wiki/Observation,0.242087314,http://en.wikipedia.org/wiki/Data,0.231036756,2,468,11,0.38977374,0.20852,0.342080044
10,1,en,2810,vl,stem,0,13850,0.018232332,0.035422817,0.02899809,0.048793193,0.117555131,0.122417086,7.871208059,85.77969074,0.336845637,0.577981651,0.644035423,10,5630,120.0426439,http://en.wikipedia.org/wiki/Variational_message_passing,0.012523244,http://en.wikipedia.org/wiki/Expectation_propagation,0.010028449,http://en.wikipedia.org/wiki/Message_passing,0.007405773,http://en.wikipedia.org/wiki/Variance,0.007125876,http://en.wikipedia.org/wiki/Calculus_of_variations,0.004167049,http://en.wikipedia.org/wiki/Scientific_method,0.245486242,http://en.wikipedia.org/wiki/Lawsuit,0.23002818,http://en.wikipedia.org/wiki/Being,0.228878522,http://en.wikipedia.org/wiki/Message_passing,0.223379102,http://en.wikipedia.org/wiki/Variance,0.222765784,4,1620,5,0.25916951,0.02238,0.425765805
